id,name,name_norm,label,match_source,district,address,typecode,type,tag,lng,lat
B0I2JA4CGD,探窝·竹笙椰子鸡(珠影店),探窝·竹笙椰子鸡,modern,招牌,海珠区,新港中路354号珠影星光城2楼,050117,餐饮服务;中餐厅;火锅店,双人餐,113.315545,23.097021
B0FFIV92G1,华莱士·全鸡汉堡(海珠客村店),华莱士·全鸡汉堡,modern,招牌,海珠区,艺苑南路222号(魔方公寓1楼),050300,餐饮服务;快餐厅;快餐厅,"双人餐,单人餐,下午茶,宵夜,汉堡,炸鸡,鸡肉",113.316784,23.093939
B0JAMAJ4N3,塔斯汀中国汉堡(广州市海珠赤岗西路店),塔斯汀中国汉堡,other_chicken,推荐菜,海珠区,艺宛南路25号,050300,餐饮服务;快餐厅;快餐厅,"中国汉堡,鸡块",113.317045,23.095007
B0FFHN2VIZ,叹佬鸡煲(珠影星光城店),叹佬鸡煲,other_chicken,招牌,海珠区,新港中路354号珠影星光城F楼110,050100,餐饮服务;中餐厅;中餐厅,"双人餐,鸡肉",113.316174,23.09727
B0LGDZF2SX,潮新记创新土鸡火锅(客村店),潮新记创新土鸡火锅,traditional,招牌,海珠区,艺苑南路212号,050117,餐饮服务;中餐厅;火锅店,"金牌鸡煲,两碟新鲜清远鸡,炸普宁豆干,五指毛桃,金不换炒薄壳,石橄榄,双人餐",113.316564,23.094636
B0FFH86GCL,正新鸡排(客村店),正新鸡排,modern,招牌,海珠区,凤和江贝村艺苑南路8号1-19自编18号,050000,餐饮服务;餐饮相关场所;餐饮相关,"酸梅汁,美味鸭肉串,正新鸡排,美味猪肉串,炸鸡排,烤香肠,巴西烤鸡盹,鸡排,疯狂烤翅,俄罗斯鸡肉串,芒果汁",113.317345,23.096774
B0H0ACVJOK,广州清香鸡鸽皇店,广州清香鸡鸽皇店,traditional,招牌,海珠区,赤岗路99号首层A7,050103,餐饮服务;中餐厅;广东菜(粤菜),"早茶,点心,白切鸡,鸡皮,麻薯,乳鸽",113.322299,23.093292
B0FFLKPRAI,烹功夫·重庆鸡公煲,烹功夫·重庆鸡公煲,modern,招牌,海珠区,赤岗西路222号2224号102自编11,050102,餐饮服务;中餐厅;四川菜(川菜),鸡肉,113.317212,23.09394
B0LDAXI2KW,正新鸡排(艺苑南路店),正新鸡排,modern,招牌,海珠区,江海街道赤岗西路222号-6,050300,餐饮服务;快餐厅;快餐厅,,113.316929,23.09406
B0M6M7VF2H,大马新文叙·海南鸡饭专门店(珠影星光城),大马新文叙·海南鸡饭专门店,modern,招牌,海珠区,新港中路354号珠影星光城F1层,050200,餐饮服务;外国餐厅;外国餐厅,海南鸡饭,113.315862,23.097006
B0L24MN46L,山山崃·石橄榄鲜切鸡煲(珠影店),山山崃·石橄榄鲜切鸡煲,other_chicken,招牌,海珠区,赤岗街道新港中路354号珠影星光城首层,050100,餐饮服务;中餐厅;中餐厅,鸡煲,113.316221,23.097546
B0GUSUMCOG,椰馆·鲜鸡火锅(丽影广场店),椰馆·鲜鸡火锅,modern,招牌,海珠区,新港中路356号丽影广场C区F3层,050100,餐饮服务;中餐厅;中餐厅,"谷饲安格斯后胸,响铃卷,竹笙鲜菌椰子鸡,乳山生蚝,经典腊味煲仔饭,大颗粒午餐肉,椰馆原味椰子鸡,生打鲜椰乳,软糯椰子饭,木瓜花胶椰子鸡,手打鲜虾滑,香煎金鲳鱼,椰子,煲仔饭,鸡肉",113.314945,23.098302
B0FFI6FFP3,丰诚太和烧鸡(赤岗路店),丰诚太和烧鸡,other_chicken,招牌,海珠区,赤岗路99号,050300,餐饮服务;快餐厅;快餐厅,"淀粉肠,韭菜,火腿,茄子,猪肉,烤翅",113.322208,23.093366
B0LKA59IQU,甘煸记·干煸辣子鸡(丽影广场店),甘煸记·干煸辣子鸡,modern,招牌,海珠区,丽影广场B区B1层,050100,餐饮服务;中餐厅;中餐厅,,113.31557,23.098363
B0JUJLWDWC,乐山钵钵鸡(海珠店),乐山钵钵鸡,other_chicken,招牌,海珠区,艺苑南路174号金影花园,050100,餐饮服务;中餐厅;中餐厅,乐山钵钵鸡,113.316574,23.095421
B0L1FKWL3I,创膳金牌烧鹅(赤岗店),创膳金牌烧鹅,traditional,推荐菜,海珠区,赤岗路89号广州卷烟一厂宿舍区,050100,餐饮服务;中餐厅;中餐厅,"脆皮烧鸭饭,脆皮烧鸭拼白切鸡饭,招牌手撕鸡拼烧鸭饭,单人餐",113.322092,23.095182
B0FFJC85TO,茂名农家鸡,茂名农家鸡,other_chicken,招牌,海珠区,赤岗路与赤岗一街交叉口西北40米,050100,餐饮服务;中餐厅;中餐厅,,113.321887,23.095158
B0L0X1MQQ0,锋叔·广味炭炉鸡煲(大塘店),锋叔·广味炭炉鸡煲,other_chicken,招牌,海珠区,敦和路289号珠航小区,050118,餐饮服务;中餐厅;特色/地方风味餐厅,双人餐,113.315367,23.088949
B0LRXUZJY5,老广炭炉鸡煲(敦和店),老广炭炉鸡煲,other_chicken,招牌,海珠区,敦和路312-318号新怡苑,050100,餐饮服务;中餐厅;中餐厅,,113.314925,23.088986
B0J2D5YQ5X,莱鑫东北菜·铁锅炖·烧烤(艺苑南路店),莱鑫东北菜·铁锅炖·烧烤,non_chicken,,海珠区,江海街道艺苑南路280号,050113,餐饮服务;中餐厅;东北菜,"东北锅包肉,东北菜,单人餐,铁锅炖,双人餐",113.31595,23.094431
B0J34H7XSS,湛江隔水蒸鸡(赤岗路分店),湛江隔水蒸鸡,traditional,招牌,海珠区,赤岗路30号,050103,餐饮服务;中餐厅;广东菜(粤菜),,113.321913,23.096861
B0FFIK3Q1R,食鸡专门店(绿茵庭店),食鸡专门店,other_chicken,招牌,海珠区,赤岗路218号绿茵庭,050100,餐饮服务;中餐厅;中餐厅,,113.320684,23.091347
B0L3URHOBW,多美丽·劲鲜炸鸡(客村店),多美丽·劲鲜炸鸡,modern,招牌,海珠区,江贝大道5号之7号,050300,餐饮服务;快餐厅;快餐厅,炸鸡,113.314375,23.091552
